port,elapsed_s,target_psia,mensor_psia,alicat_psia,transducer_psia,transducer_v,mensor_raw
port_b,0.000,5.00,13.4407,13.4400,13.4627,4.4876,+1.34407E+01
port_b,0.568,5.00,13.4407,13.4400,13.4689,4.4896,+1.34407E+01
port_b,1.144,5.00,13.4406,13.4400,12.6687,4.2229,+1.34406E+01
port_b,1.719,5.00,13.4407,13.4400,13.4696,4.4899,+1.34407E+01
port_b,2.295,5.00,13.4407,13.4400,12.3818,4.1273,+1.34407E+01
port_b,2.870,5.00,13.4406,13.4400,13.4691,4.4897,+1.34406E+01
port_b,3.446,5.00,13.4406,13.4400,13.2407,4.4136,+1.34406E+01
port_b,4.022,5.00,13.4407,13.4400,13.4709,4.4903,+1.34407E+01
port_b,4.598,5.00,13.4406,13.4400,13.4704,4.4901,+1.34406E+01
port_b,5.174,5.00,13.4406,13.4400,12.9061,4.3020,+1.34406E+01
port_b,5.749,5.00,13.4406,13.4400,13.4709,4.4903,+1.34406E+01
port_b,6.325,5.00,13.4407,13.4400,12.3216,4.1072,+1.34407E+01
port_b,6.901,5.00,13.4406,13.4400,13.4659,4.4886,+1.34406E+01
port_b,7.477,5.00,13.4407,13.4400,13.0126,4.3375,+1.34407E+01
port_b,0.000,10.00,13.4403,13.4400,13.4684,4.4895,+1.34403E+01
port_b,0.567,10.00,13.4403,13.4400,12.7289,4.2430,+1.34403E+01
port_b,1.143,10.00,13.4403,13.4400,13.4662,4.4887,+1.34403E+01
port_b,1.720,10.00,13.4403,13.4400,13.3470,4.4490,+1.34403E+01
port_b,2.294,10.00,13.4403,13.4400,13.4674,4.4891,+1.34403E+01
port_b,2.871,10.00,13.4403,13.4400,13.4711,4.4904,+1.34403E+01
port_b,3.446,10.00,13.4403,13.4400,12.7944,4.2648,+1.34403E+01
port_b,4.022,10.00,13.4403,13.4400,13.4651,4.4884,+1.34403E+01
port_b,4.598,10.00,13.4403,13.4400,12.8539,4.2846,+1.34403E+01
port_b,5.174,10.00,13.4403,13.4400,13.4663,4.4888,+1.34403E+01
port_b,5.749,10.00,13.4403,13.4400,13.4602,4.4867,+1.34403E+01
port_b,6.325,10.00,13.4403,13.4400,13.4668,4.4889,+1.34403E+01
port_b,6.901,10.00,13.4403,13.4400,13.4687,4.4896,+1.34403E+01
port_b,7.477,10.00,13.4403,13.4400,12.7240,4.2413,+1.34403E+01
port_b,0.000,14.00,13.4402,13.4400,13.4677,4.4892,+1.34402E+01
port_b,0.572,14.00,13.4402,13.4400,13.4645,4.4882,+1.34402E+01
port_b,1.148,14.00,13.4402,13.4400,13.4696,4.4899,+1.34402E+01
port_b,1.724,14.00,13.4402,13.4400,12.7855,4.2618,+1.34402E+01
port_b,2.300,14.00,13.4402,13.4400,13.4649,4.4883,+1.34402E+01
port_b,2.876,14.00,13.4402,13.4400,12.4379,4.1460,+1.34402E+01
port_b,3.451,14.00,13.4402,13.4400,13.4670,4.4890,+1.34402E+01
port_b,4.028,14.00,13.4402,13.4400,13.4104,4.4701,+1.34402E+01
port_b,4.603,14.00,13.4544,13.4500,13.4658,4.4886,+1.34544E+01
port_b,5.179,14.00,13.4450,13.4400,13.4714,4.4905,+1.34450E+01
port_b,5.756,14.00,13.5946,13.6600,13.6769,4.5590,+1.35946E+01
port_b,6.331,14.00,13.8372,13.8700,13.9024,4.6341,+1.38372E+01
