elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
0.000,static,port_a,B,0.20,0.1100,0.1328,0.0443,0.0228
0.146,static,port_a,B,0.20,0.1100,0.1312,0.0437,0.0212
0.290,static,port_a,B,0.20,0.1100,0.1346,0.0449,0.0246
0.434,static,port_a,B,0.20,0.1100,0.1341,0.0447,0.0241
0.578,static,port_a,B,0.20,0.1000,0.1320,0.0440,0.0320
0.722,static,port_a,B,0.20,0.1100,0.1340,0.0447,0.0240
0.865,static,port_a,B,0.20,0.1000,0.1316,0.0439,0.0316
1.009,static,port_a,B,0.20,0.1100,0.1358,0.0453,0.0258
1.153,static,port_a,B,0.20,0.1100,0.1330,0.0443,0.0230
1.297,static,port_a,B,0.20,0.1000,0.1344,0.0448,0.0344
1.441,static,port_a,B,0.20,0.1000,0.1328,0.0443,0.0328
1.584,static,port_a,B,0.20,0.1000,0.1327,0.0442,0.0327
1.728,static,port_a,B,0.20,0.1000,0.1331,0.0444,0.0331
1.872,static,port_a,B,0.20,0.1100,0.1357,0.0452,0.0257
2.016,static,port_a,B,0.20,0.1000,0.1334,0.0445,0.0334
2.159,static,port_a,B,0.20,0.1000,0.1334,0.0445,0.0334
2.303,static,port_a,B,0.20,0.1000,0.1324,0.0441,0.0324
2.447,static,port_a,B,0.20,0.1100,0.1332,0.0444,0.0232
2.591,static,port_a,B,0.20,0.1000,0.1355,0.0452,0.0355
2.735,static,port_a,B,0.20,0.1000,0.1296,0.0432,0.0296
2.879,static,port_a,B,0.20,0.1000,0.1332,0.0444,0.0332
3.022,static,port_a,B,0.20,0.1100,0.1355,0.0452,0.0255
3.166,static,port_a,B,0.20,0.1000,0.1347,0.0449,0.0347
3.310,static,port_a,B,0.20,0.1000,0.1342,0.0447,0.0342
3.454,static,port_a,B,0.20,0.1100,0.1323,0.0441,0.0223
0.000,static,port_a,B,2.00,2.0700,2.0981,0.6994,0.0281
0.146,static,port_a,B,2.00,2.0700,2.0967,0.6989,0.0267
0.290,static,port_a,B,2.00,2.0600,2.0911,0.6970,0.0311
0.433,static,port_a,B,2.00,2.0600,2.0937,0.6979,0.0337
0.577,static,port_a,B,2.00,2.0600,2.0902,0.6967,0.0302
0.721,static,port_a,B,2.00,2.0500,2.0824,0.6941,0.0324
0.865,static,port_a,B,2.00,2.0500,2.0735,0.6912,0.0235
1.009,static,port_a,B,2.00,2.0400,2.0652,0.6884,0.0252
1.152,static,port_a,B,2.00,2.0300,2.0626,0.6875,0.0326
1.296,static,port_a,B,2.00,2.0300,2.0601,0.6867,0.0301
1.440,static,port_a,B,2.00,2.0200,2.0507,0.6836,0.0307
1.584,static,port_a,B,2.00,2.0100,2.0430,0.6810,0.0330
1.727,static,port_a,B,2.00,2.0100,2.0397,0.6799,0.0297
1.871,static,port_a,B,2.00,2.0000,2.0249,0.6750,0.0249
2.016,static,port_a,B,2.00,2.0000,2.0278,0.6759,0.0278
2.159,static,port_a,B,2.00,1.9900,2.0172,0.6724,0.0272
2.303,static,port_a,B,2.00,1.9800,2.0152,0.6717,0.0352
2.447,static,port_a,B,2.00,1.9800,2.0120,0.6707,0.0320
2.590,static,port_a,B,2.00,1.9700,2.0025,0.6675,0.0325
2.734,static,port_a,B,2.00,1.9700,1.9988,0.6663,0.0288
2.878,static,port_a,B,2.00,1.9700,1.9981,0.6660,0.0281
3.022,static,port_a,B,2.00,1.9700,1.9922,0.6641,0.0222
3.166,static,port_a,B,2.00,1.9600,1.9921,0.6640,0.0321
3.309,static,port_a,B,2.00,1.9600,1.9877,0.6626,0.0277
3.453,static,port_a,B,2.00,1.9600,1.9849,0.6616,0.0249
0.000,static,port_a,B,5.00,5.0400,5.0685,1.6895,0.0285
0.146,static,port_a,B,5.00,5.0400,5.0642,1.6881,0.0242
0.290,static,port_a,B,5.00,5.0300,5.0600,1.6867,0.0300
0.433,static,port_a,B,5.00,5.0300,5.0536,1.6845,0.0236
0.577,static,port_a,B,5.00,5.0200,5.0459,1.6820,0.0259
0.721,static,port_a,B,5.00,5.0100,5.0401,1.6800,0.0301
0.865,static,port_a,B,5.00,5.0100,5.0370,1.6790,0.0270
1.009,static,port_a,B,5.00,5.0000,5.0289,1.6763,0.0289
1.153,static,port_a,B,5.00,5.0000,5.0265,1.6755,0.0265
1.296,static,port_a,B,5.00,4.9900,5.0162,1.6721,0.0262
1.440,static,port_a,B,5.00,4.9900,5.0142,1.6714,0.0242
1.584,static,port_a,B,5.00,4.9800,5.0108,1.6703,0.0308
1.728,static,port_a,B,5.00,4.9800,5.0031,1.6677,0.0231
1.872,static,port_a,B,5.00,4.9800,5.0063,1.6688,0.0263
2.015,static,port_a,B,5.00,4.9700,4.9989,1.6663,0.0289
2.159,static,port_a,B,5.00,4.9700,4.9948,1.6649,0.0248
2.303,static,port_a,B,5.00,4.9700,4.9946,1.6649,0.0246
2.447,static,port_a,B,5.00,4.9600,4.9900,1.6633,0.0300
2.590,static,port_a,B,5.00,4.9600,4.9894,1.6631,0.0294
2.734,static,port_a,B,5.00,4.9600,4.9864,1.6621,0.0264
2.878,static,port_a,B,5.00,4.9600,4.9854,1.6618,0.0254
3.022,static,port_a,B,5.00,4.9500,4.9905,1.6635,0.0405
3.166,static,port_a,B,5.00,4.9500,4.9823,1.6608,0.0323
3.309,static,port_a,B,5.00,4.9500,4.9805,1.6602,0.0305
3.453,static,port_a,B,5.00,4.9500,4.9804,1.6601,0.0304
0.000,static,port_a,B,8.00,8.0500,8.0753,2.6918,0.0253
0.146,static,port_a,B,8.00,8.0500,8.0731,2.6910,0.0231
0.290,static,port_a,B,8.00,8.0400,8.0691,2.6897,0.0291
0.434,static,port_a,B,8.00,8.0400,8.0687,2.6896,0.0287
0.578,static,port_a,B,8.00,8.0400,8.0665,2.6888,0.0265
0.721,static,port_a,B,8.00,8.0300,8.0569,2.6856,0.0269
0.865,static,port_a,B,8.00,8.0300,8.0569,2.6856,0.0269
1.009,static,port_a,B,8.00,8.0200,8.0490,2.6830,0.0290
1.153,static,port_a,B,8.00,8.0200,8.0449,2.6816,0.0249
1.296,static,port_a,B,8.00,8.0100,8.0433,2.6811,0.0333
1.440,static,port_a,B,8.00,8.0100,8.0364,2.6788,0.0264
1.584,static,port_a,B,8.00,8.0000,8.0327,2.6776,0.0327
1.728,static,port_a,B,8.00,8.0000,8.0278,2.6759,0.0278
1.872,static,port_a,B,8.00,7.9900,8.0187,2.6729,0.0287
2.016,static,port_a,B,8.00,7.9900,8.0159,2.6720,0.0259
2.159,static,port_a,B,8.00,7.9900,8.0104,2.6701,0.0204
2.303,static,port_a,B,8.00,7.9800,8.0077,2.6692,0.0277
2.447,static,port_a,B,8.00,7.9800,8.0055,2.6685,0.0255
2.591,static,port_a,B,8.00,7.9700,7.9993,2.6664,0.0293
2.735,static,port_a,B,8.00,7.9700,7.9957,2.6652,0.0257
2.879,static,port_a,B,8.00,7.9700,7.9941,2.6647,0.0241
3.022,static,port_a,B,8.00,7.9600,7.9911,2.6637,0.0311
3.166,static,port_a,B,8.00,7.9600,7.9914,2.6638,0.0314
3.310,static,port_a,B,8.00,7.9600,7.9864,2.6621,0.0264
3.453,static,port_a,B,8.00,7.9600,7.9842,2.6614,0.0242
0.000,static,port_a,B,10.00,13.3400,13.3627,4.4542,0.0227
0.153,static,port_a,B,10.00,13.3400,13.3574,4.4525,0.0174
0.296,static,port_a,B,10.00,13.3400,13.3642,4.4547,0.0242
0.440,static,port_a,B,10.00,13.3400,12.4578,4.1526,-0.8822
0.584,static,port_a,B,10.00,13.3400,13.3634,4.4545,0.0234
0.728,static,port_a,B,10.00,13.3400,13.3573,4.4524,0.0173
